code,description,ethnic_category
92561000000109,Northern Irish - ethnic category 2001 census (finding),C
92571000000102,Cornish - ethnic category 2001 census (finding),A
92581000000100,Black and Asian - ethnic category 2001 census (finding),G
92591000000103,Black and Chinese - ethnic category 2001 census (finding),G
92601000000109,Chinese and White - ethnic category 2001 census (finding),S
92611000000106,Asian and Chinese - ethnic category 2001 census (finding),S
92621000000100,Other Mixed or Mixed unspecified - ethnic category 2001 census (finding),G
92631000000103,Mixed Asian - ethnic category 2001 census (finding),G
92641000000107,Punjabi - ethnic category 2001 census (finding),L
92651000000105,Kashmiri - ethnic category 2001 census (finding),L
92661000000108,East African Asian - ethnic category 2001 census (finding),L
92671000000101,Tamil - ethnic category 2001 census (finding),L
92681000000104,British Asian - ethnic category 2001 census (finding),L
92691000000102,Caribbean Asian - ethnic category 2001 census (finding),L
92701000000102,Other Asian or Asian unspecified - ethnic category 2001 census (finding),L
92711000000100,Somali - ethnic category 2001 census (finding),N
92721000000106,Mixed Black - ethnic category 2001 census (finding),G
92731000000108,Nigerian - ethnic category 2001 census (finding),N
92741000000104,Other Black or Black unspecified - ethnic category 2001 census (finding),P
92751000000101,Vietnamese - ethnic category 2001 census (finding),L
92761000000103,Japanese - ethnic category 2001 census (finding),L
92771000000105,Filipino - ethnic category 2001 census (finding),L
92781000000107,Malaysian - ethnic category 2001 census (finding),L
92791000000109,Cypriot (part not stated) - ethnic category 2001 census (finding),A
93921000000101,Ulster Scots - ethnic category 2001 census (finding),C
93931000000104,Greek - ethnic category 2001 census (finding),C
93941000000108,Greek Cypriot - ethnic category 2001 census (finding),C
93951000000106,Turkish Cypriot - ethnic category 2001 census (finding),S
93961000000109,Italian - ethnic category 2001 census (finding),C
93981000000100,Kosovan - ethnic category 2001 census (finding),C
93991000000103,Bosnian - ethnic category 2001 census (finding),C
94001000000108,Croatian - ethnic category 2001 census (finding),C
94011000000105,Other republics which made up the former Yugoslavia - ethnic category 2001 census (finding),C
94021000000104,Mixed Irish and other White - ethnic category 2001 census (finding),C
94031000000102,Other mixed White - ethnic category 2001 census (finding),C
94041000000106,Other White European or European unspecified or Mixed European - ethnic category 2001 census (finding),C
94051000000109,Other White or White unspecified - ethnic category 2001 census (finding),C
94061000000107,North African - ethnic category 2001 census (finding),N
94071000000100,"Middle Eastern (excluding Israeli, Iranian and Arab) - ethnic category 2001 census (finding)",S
94081000000103,Israeli - ethnic category 2001 census (finding),S
94091000000101,Kurdish - ethnic category 2001 census (finding),S
94101000000109,Moroccan - ethnic category 2001 census (finding),S
94111000000106,Latin American - ethnic category 2001 census (finding),S
94121000000100,Multi-ethnic islands: Mauritian or Seychellois or Maldivian or St Helena - ethnic category 2001 census (finding),L
94131000000103,Buddhist - ethnic category 2001 census (finding),S
94141000000107,Sikh - ethnic category 2001 census (finding),L
94151000000105,Any other group - ethnic category 2001 census (finding),S
1024701000000100,Ethnicity not stated (finding),Z
107691000000105,Caribbean - ethnic category 2001 census (finding),M
110401000000103,Turkish - ethnic category 2001 census (finding),S
110751000000108,Indian or British Indian - ethnic category 2001 census (finding),H
110761000000106,English - ethnic category 2001 census (finding),A
110771000000104,Black and White - ethnic category 2001 census (finding),G
110781000000102,Sinhalese - ethnic category 2001 census (finding),L
110791000000100,Black British - ethnic category 2001 census (finding),P
110831000000107,Hindu - ethnic category 2001 census (finding),L
494131000000105,White British - ethnic category 2001 census (finding),A
494141000000101,White British - ethnic category 2001 census,A
494151000000103,White British - ethnic category 2001 census,A
494161000000100,White Irish - ethnic category 2001 census (finding),B
494171000000107,White Irish - ethnic category 2001 census,B
494181000000109,White Irish - ethnic category 2001 census,B
86461000000107,Sri Lankan - ethnic category 2001 census (finding),L
88911000000101,Irish Traveller - ethnic category 2001 census (finding),T
88921000000107,Traveller - ethnic category 2001 census (finding),T
88931000000109,Gypsy/Romany - ethnic category 2001 census (finding),T
88941000000100,Polish - ethnic category 2001 census (finding),C
88951000000102,Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census (finding),C
88961000000104,Commonwealth of (Russian) Independent States - ethnic category 2001 census (finding),C
88971000000106,Albanian - ethnic category 2001 census (finding),C
88981000000108,Serbian - ethnic category 2001 census (finding),C
88991000000105,Jewish - ethnic category 2001 census (finding),S
89001000000105,Arab - ethnic category 2001 census (finding),W
89011000000107,Iranian - ethnic category 2001 census (finding),S
89021000000101,South and Central American - ethnic category 2001 census (finding),S
89031000000104,Muslim - ethnic category 2001 census (finding),S
92391000000108,British or mixed British - ethnic category 2001 census (finding),A
92401000000106,Irish - ethnic category 2001 census (finding),B
92411000000108,Other White background - ethnic category 2001 census (finding),C
92421000000102,White and Black Caribbean - ethnic category 2001 census (finding),D
92431000000100,White and Black African - ethnic category 2001 census (finding),E
92441000000109,White and Asian - ethnic category 2001 census (finding),F
92451000000107,Other Mixed background - ethnic category 2001 census (finding),G
92461000000105,Pakistani or British Pakistani - ethnic category 2001 census (finding),J
92471000000103,Bangladeshi or British Bangladeshi - ethnic category 2001 census (finding),K
92481000000101,Other Asian background - ethnic category 2001 census (finding),L
92491000000104,African - ethnic category 2001 census (finding),N
92501000000105,Other Black background - ethnic category 2001 census (finding),P
92511000000107,Chinese - ethnic category 2001 census (finding),R
92521000000101,Other - ethnic category 2001 census (finding),S
92531000000104,Ethnic category not stated - 2001 census (finding),Z
92541000000108,Scottish - ethnic category 2001 census (finding),A
92551000000106,Welsh - ethnic category 2001 census (finding),A
976631000000101,White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census (finding),A
976641000000105,White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census,A
976651000000108,White: Irish - England and Wales ethnic category 2011 census (finding),B
976661000000106,White: Irish - England and Wales ethnic category 2011 census,B
976671000000104,White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census (finding),T
976681000000102,White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census,T
976691000000100,White: any other White background - England and Wales ethnic category 2011 census (finding),C
976701000000100,White: any other white background - England and Wales ethnic category 2011 census,C
976711000000103,Mixed multiple ethnic groups: White and Black Caribbean - England and Wales ethnic category 2011 census (finding),D
976721000000109,Mixed multiple ethnic groups: white and black Caribbean - England and Wales ethnic category 2011 census,D
976731000000106,Mixed multiple ethnic groups: White and Black African - England and Wales ethnic category 2011 census (finding),E
976741000000102,Mixed multiple ethnic groups: white and black African - England and Wales ethnic category 2011 census,E
976751000000104,Mixed multiple ethnic groups: White and Asian - England and Wales ethnic category 2011 census (finding),F
976761000000101,Mixed multiple ethnic groups: white and Asian - England and Wales ethnic category 2011 census,F
976771000000108,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - England and Wales ethnic category 2011 census (finding),G
976781000000105,Mixed multiple ethnic groups: any other Mixed or  Multiple ethnic background - England and Wales ethnic category 2011 census,G
976791000000107,Asian or Asian British: Indian - England and Wales ethnic category 2011 census (finding),H
976801000000106,Asian or Asian British: Indian - England and Wales ethnic category 2011 census,H
976811000000108,Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census (finding),J
976821000000102,Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census,J
976831000000100,Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census (finding),K
976841000000109,Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census,K
976851000000107,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census (finding),R
976861000000105,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census,R
976871000000103,Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census (finding),L
976881000000101,Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census,L
976891000000104,Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census (finding),N
976901000000103,Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census,N
976911000000101,Black or African or Caribbean or Black British: Caribbean - England and Wales ethnic category 2011 census (finding),M
976921000000107,Black or African or Caribbean or Black British : Caribbean - England and Wales ethnic category 2011 census (finding),M
976931000000109,Black or African or Caribbean or Black British: other Black or African or Caribbean background - England and Wales ethnic category 2011 census (finding),P
976941000000100,Black or African or Caribbean or Black British : other black or African or Caribbean background - England and Wales ethnic category 2011 census,P
976951000000102,Other ethnic group: Arab - England and Wales ethnic category 2011 census (finding),W
976961000000104,Other ethnic group: Arab - England and Wales ethnic category 2011 census,W
976971000000106,Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census (finding),S
976981000000108,Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census,S
977351000000100,White - Northern Ireland ethnic category 2011 census (finding),A
977361000000102,White - Northern Ireland ethnic category 2011 census,A
977371000000109,Irish Traveller - Northern Ireland ethnic category 2011 census (finding),T
977381000000106,Irish Traveller - Northern Ireland ethnic category 2011 census,T
977391000000108,Mixed multiple ethnic groups: White and Black Caribbean - Northern Ireland ethnic category 2011 census (finding),D
977401000000106,Mixed multiple ethnic groups: white and black Caribbean - Northern Ireland ethnic category 2011 census,D
977411000000108,Mixed multiple ethnic groups: White and Black African - Northern Ireland ethnic category 2011 census (finding),E
977421000000102,Mixed multiple ethnic groups: white and black African - Northern Ireland ethnic category 2011 census,E
977431000000100,Mixed multiple ethnic groups: White and Asian - Northern Ireland ethnic category 2011 census (finding),F
977441000000109,Mixed multiple ethnic groups: white and Asian - Northern Ireland ethnic category 2011 census,F
977551000000106,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - Northern Ireland ethnic category 2011 census (finding),G
977561000000109,Mixed multiple ethnic groups: any other Mixed or Multiple ethnic background - Northern Ireland ethnic category 2011 census,G
977591000000103,Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census (finding),H
977601000000109,Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census,H
977711000000100,Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census (finding),J
977721000000106,Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census,J
977731000000108,Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census (finding),K
977741000000104,Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census,K
977751000000101,Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census (finding),R
977761000000103,Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census,R
977771000000105,Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census (finding),L
977781000000107,Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census,L
977791000000109,Black or African or Caribbean or Black British: African - Northern Ireland ethnic category 2011 census (finding),N
977801000000108,Black or African or Caribbean or Black British: African - Northern Ireland ethnic category 2011 census,N
977811000000105,Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census (finding),M
977821000000104,Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census,M
977831000000102,Black or African or Caribbean or Black British: other Black or African or Caribbean background - Northern Ireland ethnic category 2011 census (finding),P
977841000000106,Black or African or Caribbean or Black British: other black or African or Caribbean background - Northern Ireland ethnic category 2011 census,P
977851000000109,Other ethnic group: Arab - Northern Ireland ethnic category 2011 census (finding),W
977861000000107,Other ethnic group: Arab - Northern Ireland ethnic category 2011 census,W
977871000000100,Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census (finding),S
977881000000103,Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census,S
977911000000103,White: Scottish - Scotland ethnic category 2011 census (finding),A
977921000000109,White: Scottish - Scotland ethnic category 2011 census,A
977931000000106,White: other British - Scotland ethnic category 2011 census (finding),A
977941000000102,White: other British - Scotland ethnic category 2011 census,A
977951000000104,White: Irish - Scotland ethnic category 2011 census (finding),B
977961000000101,White: Irish - Scotland ethnic category 2011 census,B
977971000000108,White: Gypsy or Irish Traveller - Scotland ethnic category 2011 census (finding),T
977981000000105,White: Gypsy or Irish Traveller - Scotland ethnic category 2011 census,T
978011000000101,White: Polish - Scotland ethnic category 2011 census (finding),C
978021000000107,White: Polish - Scotland ethnic category 2011 census,C
978031000000109,White: any other White ethnic group - Scotland ethnic category 2011 census (finding),C
978041000000100,White: any other white ethnic group - Scotland ethnic category 2011 census,C
978051000000102,Mixed or multiple ethnic groups: any Mixed or multiple ethnic group - Scotland ethnic category 2011 census (finding),G
978061000000104,Mixed or multiple ethnic groups: any Mixed or Multiple ethnic group - Scotland ethnic category 2011 census,G
978071000000106,"Asian or Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census (finding)",J
978081000000108,"Asian or Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census",J
978111000000100,"Asian or Asian Scottish or Asian British: Indian, Indian Scottish or Indian British - Scotland ethnic category 2011 census (finding)",H
978121000000106,"Asian or Asian Scottish or Asian British: Indian, Indian Scottish or Indian British - Scotland ethnic category 2011 census",H
978171000000105,"Asian or Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British - Scotland ethnic category 2011 census (finding)",K
978181000000107,"Asian or Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Banagaldeshi British - Scotland ethnic category 2011 census",K
978191000000109,Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census (finding),R
978201000000106,Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census,R
978211000000108,Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census (finding),L
978221000000102,Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census,L
978231000000100,"African: African, African Scottish or African British - Scotland ethnic category 2011 census (finding)",N
978241000000109,"African: African, African Scottish or African British - Scotland ethnic category 2011 census",N
978251000000107,African: any other African - Scotland ethnic category 2011 census (finding),P
978261000000105,African: any other African - Scotland ethnic category 2011 census,P
978271000000103,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census (finding)",M
978281000000101,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census",M
978341000000102,"Caribbean or Black: Black, Black Scottish or Black British - Scotland ethnic category 2011 census (finding)",M
978351000000104,"Caribbean or Black: Black,  Black Scottish or  Black British - Scotland ethnic category 2011 census",M
978361000000101,Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census (finding),P
978371000000108,Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census,P
978381000000105,"Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census (finding)",W
978391000000107,"Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census",W
978401000000105,Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census (finding),S
978411000000107,Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census,S
10008004,Ewe (ethnic group),N
10117001,Finns (ethnic group),C
10292001,Guamians (ethnic group),S
10432001,Onge (ethnic group),L
108342005,South Asian AND/OR Australian aborigine (ethnic group),S
113169009,Armenians (ethnic group),C
113170005,Aymara (ethnic group),S
113171009,Coushatta (ethnic group),S
11794009,Kenyans (ethnic group),N
12556008,Tamils (ethnic group),L
13233008,Flathead (ethnic group),S
1340002,Malayans (ethnic group),L
13440006,Tanganyikans (ethnic group),N
14045001,Caucasian (ethnic group),C
14176005,Danes (ethnic group),C
14470009,Tutsi (ethnic group),N
1451003,Greeks (ethnic group),C
14999008,Welsh (ethnic group),B
15086000,African American (ethnic group),P
15801006,Kapingas (ethnic group),S
160531006,Race: West indian (finding),M
17095009,Norwegians (ethnic group),C
17789004,Papuans (ethnic group),S
18167009,Black African (ethnic group),N
18575005,Oceanian (ethnic group),S
18583004,Estonians (ethnic group),C
185984009,White - ethnic group (ethnic group),C
185988007,Black Caribbean (ethnic group),M
185989004,"Black, other, non-mixed origin (ethnic group)",P
185990008,Black British (ethnic group),P
185993005,Black - other African country (ethnic group),N
185995003,Black Indian sub-continent (ethnic group),H
185996002,Black - other Asian (ethnic group),L
185998001,"Black - other, mixed (ethnic group)",G
185999009,Other Black - Black/White orig (ethnic group),G
186000006,Other Black - Black/Asian orig (ethnic group),G
186001005,Indian (East Indian) (ethnic group),H
186002003,Pakistani (ethnic group),J
186003008,Bangladeshi (ethnic group),K
186005001,Other ethnic non-mixed (NMO) (ethnic group),S
186006000,British ethnic minority specified (NMO) (ethnic group),S
186007009,British ethnic minority unspecified (NMO) (ethnic group),S
186010002,Other African countries (NMO) (ethnic group),N
186012005,Indian sub-continent (NMO) (ethnic group),H
186013000,Other Asian (NMO) (ethnic group),L
186014006,Irish (NMO) (ethnic group),B
186017004,Other European (NMO) (ethnic group),C
186019001,"Other ethnic, mixed origin (ethnic group)",G
186020007,"Other ethnic, Black/White origin (ethnic group)",G
186021006,"Other ethnic, Asian/White origin (ethnic group)",F
186022004,"Other ethnic, mixed white origin (ethnic group)",G
186023009,"Other ethnic, other mixed origin (ethnic group)",G
186035008,New Zealand ethnic groups (ethnic group),S
186036009,New Zealand European (ethnic group),S
186037000,Other European in New Zealand (ethnic group),S
186039002,New Zealand Maori (ethnic group),S
186040000,Cook Island Maori (ethnic group),S
186041001,Niuean (ethnic group),S
186042008,Tokelauan (ethnic group),S
186044009,South East Asian (ethnic group),L
18664001,Xavante (ethnic group),S
19085009,Saipanese (ethnic group),S
1919006,Egyptians (ethnic group),N
19434008,French (ethnic group),C
20140003,Hawaiians (ethnic group),S
20291009,Lacandon (ethnic group),S
20449009,Javanese (ethnic group),L
21047009,Aleuts (ethnic group),S
21868006,Madagascans (ethnic group),N
21993009,Indonesians (ethnic group),L
22007004,Shoshone (ethnic group),S
23517005,Polynesians (ethnic group),S
23534002,Melanesians (ethnic group),S
23922002,Batutsi (ethnic group),N
24812003,Mongoloid (ethnic group),L
25750005,Admiralty Islanders (ethnic group),S
25804004,English (ethnic group),A
26215007,South Asian Aborigine (ethnic group),L
2688009,Tristan da Cunhans (ethnic group),L
270460000,Black Caribbean/W.I./Guyana (ethnic group),M
270461001,Black N African/Arab/Iranian (ethnic group),P
270462008,Black East African Asian/Indo-Caribbean (ethnic group),L
270463003,Caribbean I./W.I./Guyana (NMO) (ethnic group),M
270464009,N African Arab/Iranian (NMO) (ethnic group),S
270465005,E Afric Asian/Indo-Carib (NMO) (ethnic group),L
270466006,Greek/Greek Cypriot (NMO) (ethnic group),C
270467002,Turkish/Turkish Cypriot (NMO) (ethnic group),S
2720008,Hututu (ethnic group),N
27301002,Paez (ethnic group),S
275586009,Black North African (ethnic group),P
275587000,Black Arab (ethnic group),P
275588005,Black Iranian (ethnic group),P
275589002,Black East African Asian (ethnic group),L
275590006,Black Indo-Caribbean (ethnic group),L
275591005,Caribbean Island (NMO) (ethnic group),M
275592003,West Indian (NMO) (ethnic group),M
275593008,Guyana (NMO) (ethnic group),M
275594002,North African Arab (NMO) (ethnic group),S
275595001,Iranian (NMO) (ethnic group),S
275596000,East African Asian (NMO) (ethnic group),L
275597009,Indo-Caribbean (NMO) (ethnic group),L
275599007,Greek (NMO) (ethnic group),C
275600005,Greek Cypriot (NMO) (ethnic group),C
275601009,Turkish (NMO) (ethnic group),S
275602002,Turkish Cypriot (NMO) (ethnic group),S
27683006,Ainu (ethnic group),L
27700004,Iraqi (ethnic group),S
28409002,Spaniards (ethnic group),C
2852001,Bhutanese (ethnic group),L
28562006,Poles (ethnic group),C
286009,Czechs (ethnic group),C
28796001,Siamese (ethnic group),L
28821007,Easter Islanders (ethnic group),S
29343004,Bulgarians (ethnic group),C
296841000000102,Yemeni (ethnic group),L
309643000,Black West Indian (ethnic group),M
309644006,Black Guyana (ethnic group),M
312859007,Vietnamese (ethnic group),L
312860002,Ethnic group not given - patient refused (finding),Z
312861003,Ethnic group not recorded (finding),Z
315236000,White British (ethnic group),A
315237009,White Irish (ethnic group),B
315239007,Mixed ethnic census group (ethnic group),G
315240009,Black - ethnic group (ethnic group),P
315279003,Other black ethnic group (ethnic group),P
315280000,Asian - ethnic group (ethnic group),L
315281001,Other Asian ethnic group (ethnic group),L
315283003,Irish traveller (ethnic group),T
315634007,Black Caribbean and White (ethnic group),D
315635008,Black African and White (ethnic group),E
31637002,Italians (ethnic group),C
32045009,Georgians (ethnic group),C
32513008,Dyaks (ethnic group),L
32873005,Bloods (ethnic group),S
33182009,Trukese (ethnic group),S
3353005,Pueblo (ethnic group),S
33897005,Chinese (ethnic group),R
34334001,New Caledonians (ethnic group),S
35007000,Utes (ethnic group),S
36329002,Slovaks (ethnic group),C
3698008,Micronesians (ethnic group),S
37474002,Ghanaians (ethnic group),N
37843006,Fulani (ethnic group),N
38144004,Athabascans (ethnic group),S
3818007,Senegalese (ethnic group),N
38361009,Koreans (ethnic group),L
38750003,Bororo (ethnic group),S
39007007,Black Jews (ethnic group),N
39764005,Bantu (ethnic group),N
401213008,White Scottish (ethnic group),A
401214002,Other white British ethnic group (ethnic group),A
40165009,Buriats (ethnic group),L
40182006,Gypsies (ethnic group),S
4073004,Palauans (ethnic group),S
41076003,Mozambiquans (ethnic group),N
413465009,Afro-Caribbean (ethnic group),M
413466005,Afro-Caucasian (ethnic group),E
414152003,European (ethnic group),C
414481008,Indian (racial group),H
414551003,Japanese (ethnic group),L
414661004,Melanesian (ethnic group),S
414978006,Oriental (ethnic group),L
41798002,Caroline Islanders (ethnic group),S
42632009,Andamanese (ethnic group),L
4299001,Marathas (ethnic group),L
43056000,Cuna (ethnic group),S
43608005,Australian Aborigines (ethnic group),S
43890005,Dieguenos (ethnic group),S
44460002,Turks (ethnic group),L
445343003,Romanian (ethnic group),C
45465003,Basques (ethnic group),C
46110004,Somalis (ethnic group),N
46723002,Badagas (ethnic group),L
47250000,Bruneians (ethnic group),L
47327008,Mexican Indians (ethnic group),S
48118002,Yapese (ethnic group),S
48294008,Solomon Islanders (ethnic group),S
48375000,Seminole (ethnic group),S
48679001,Bogobos (ethnic group),L
49202008,Gilbertese (ethnic group),S
50405005,Senoy (ethnic group),S
51750002,Hottentot (ethnic group),N
51827000,Oriental Jews (ethnic group),S
52075006,Congolese (ethnic group),N
53195006,Kirghiz (ethnic group),L
53460002,Serbs (ethnic group),C
55990000,Inca (ethnic group),S
56056003,Belgians (ethnic group),C
57405008,Chenchu (ethnic group),L
57539009,Navaho (ethnic group),S
58047002,Barundi (ethnic group),N
59366001,Ibo (ethnic group),N
59487007,Syrians (ethnic group),S
59597001,Marshallese (ethnic group),S
60157000,Ellice Islanders (ethnic group),S
62598008,Venezuelan Indians (ethnic group),S
63457007,Maya (ethnic group),S
6373008,Choco (ethnic group),S
63732001,New Hebrideans (ethnic group),S
63736003,Taiwanese (ethnic group),L
64483007,Indians (Hindi-speaking) (ethnic group),H
64693008,Hungarians (ethnic group),C
65776006,Blackfeet (ethnic group),S
66406004,Huasteco (ethnic group),S
66920001,Amerind (ethnic group),S
67165000,Lapps (ethnic group),L
67439005,Msutu (ethnic group),N
67931002,Aztec (ethnic group),S
68486007,Austrians (ethnic group),C
69865008,Fijian (ethnic group),S
69983001,Irani (ethnic group),S
704385002,Punjabi (ethnic group),L
704386001,Orang asli (ethnic group),L
704387005,Kadazan (ethnic group),L
704388000,Melanau (ethnic group),L
704389008,Murut (ethnic group),L
704390004,Bajau (ethnic group),L
704391000,Bidayuh (ethnic group),L
704392007,Iban (ethnic group),L
71176007,Pygmies (ethnic group),N
718131000000106,Nepali (ethnic group),L
718958002,Roma (ethnic group),T
718959005,Czech Roma (ethnic group),C
718960000,Romanian Roma (ethnic group),T
718961001,Slovak Roma (ethnic group),C
718962008,Bulgarian Roma (ethnic group),C
718963003,Hungarian Roma (ethnic group),C
718964009,Polish Roma (ethnic group),T
71949006,Chippewa (ethnic group),S
72201005,Hobe (ethnic group),N
72248007,Kikuyu (ethnic group),N
72337002,Brazilian Indians (ethnic group),S
72809004,Icelanders (ethnic group),C
733078003,Ukrainian (ethnic group),C
733446001,Canadian (ethnic group),C
735001008,Scandinavian (ethnic group),C
73524008,Caingang (ethnic group),S
73736004,Maori (ethnic group),S
74159009,Melanuans (ethnic group),S
74302004,Apache (ethnic group),S
75301003,Mapuche (ethnic group),S
75326007,Labradors (ethnic group),S
75704009,Toba (ethnic group),S
76253004,Zulu (ethnic group),N
763726001,Refusal by patient to provide information about ethnic group (situation),Z
76460008,Yanomama (ethnic group),S
76574004,Swiss (ethnic group),C
76768002,Filipinos (ethnic group),L
76775001,Ugandans (ethnic group),N
76883002,Huichol (ethnic group),S
7695005,Germans (ethnic group),C
77502007,Atacamenos (ethnic group),S
77686000,Kwakiutl (ethnic group),S
79434006,Quechua (ethnic group),S
80208004,Portuguese (ethnic group),C
80528001,Xosa (ethnic group),N
81035008,Pakistani (Urduspeakers) (ethnic group),J
8124001,West Africans (ethnic group),N
81283004,Todas (ethnic group),L
81403004,Swedes (ethnic group),C
81560001,Tongan (ethnic group),S
81653003,Pehuenches (ethnic group),S
81846005,Naiars (ethnic group),L
82174001,Shona (ethnic group),N
83365001,Thais (ethnic group),L
83584002,Luo (ethnic group),N
83939006,Irula (ethnic group),L
85163001,Russians (ethnic group),C
85371009,Bushmen (ethnic group),N
85515006,Eskimo (ethnic group),S
86275006,Samoan (ethnic group),S
87323008,Nez Percé (ethnic group),S
88790004,Abyssinians (Amharas) (ethnic group),N
88839008,Sudanese (ethnic group),N
88934004,Nigerians (ethnic group),N
89026003,Alacaluf (ethnic group),S
90027003,Arabs (ethnic group),W
90348007,Ghashgai (ethnic group),L
90822005,Gambians (ethnic group),N
91066000,Tatars (ethnic group),L
91191002,Oraons (ethnic group),L
91488008,New Britons (ethnic group),S
9158000,Liberians (ethnic group),N
9533000,Dutch (ethnic group),C
870448005,Khoikhoi (ethnic group),N
413773004,Caucasian (racial group),C
414752008,Mixed racial group (racial group),G
415226007,Race not stated (racial group),Z
415794004,Unknown racial group (racial group),Z
521000220104,Black Irish (ethnic group),P
